"學年度","設立別","學程別","群科別","畢業生人數","正在接受職業訓練人數","正在軍中服役人數","需要工作而未找到人數","補習或準備升學人數","健康不良在家休養人數","準備出國人數","其他人數","正在接受職業訓練比率","正在軍中服役比率","需要工作而未找到比率","補習或準備升學比率","健康不良在家休養比率","準備出國比率","其他比率"
109,私立,實用技能學程,動力機械群,926,2,38,60,1,1,0,16,0.215982721382289,4.1036717062635,6.47948164146868,0.107991360691145,0.107991360691145,0,1.72786177105832
109,私立,實用技能學程,電機與電子群,628,5,19,12,1,0,0,8,0.796178343949045,3.02547770700637,1.91082802547771,0.159235668789809,0,0,1.27388535031847
109,私立,實用技能學程,商業與管理群,383,4,4,23,2,0,3,0,1.0443864229765,1.0443864229765,6.00522193211488,0.522193211488251,0,0.783289817232376,0
109,私立,實用技能學程,農業群,68,0,1,7,0,0,0,3,0,1.47058823529412,10.2941176470588,0,0,0,4.41176470588235
109,私立,實用技能學程,食品群,236,2,5,4,1,3,0,2,0.847457627118644,2.11864406779661,1.69491525423729,0.423728813559322,1.27118644067797,0,0.847457627118644
109,私立,實用技能學程,餐旅群,2474,24,35,215,4,7,1,33,0.970088924818108,1.41471301535974,8.69037995149555,0.161681487469685,0.282942603071948,0.0404203718674212,1.3338722716249
109,私立,實用技能學程,藝術群,110,0,1,7,1,0,0,2,0,0.909090909090909,6.36363636363636,0.909090909090909,0,0,1.81818181818182
109,私立,實用技能學程,美容造型群,727,7,1,64,1,2,0,0,0.962861072902338,0.137551581843191,8.80330123796424,0.137551581843191,0.275103163686382,0,0
109,私立,進修部,學術群,127,0,1,0,0,0,0,45,0,0.78740157480315,0,0,0,0,35.4330708661417
109,私立,進修部,機械群,59,0,3,2,0,0,0,0,0,5.08474576271187,3.38983050847458,0,0,0,0
109,私立,進修部,動力機械群,350,0,17,18,0,2,0,2,0,4.85714285714286,5.14285714285714,0,0.571428571428571,0,0.571428571428571
109,私立,進修部,電機與電子群,190,4,3,13,2,2,1,2,2.10526315789474,1.57894736842105,6.8421052631579,1.05263157894737,1.05263157894737,0.526315789473684,1.05263157894737
109,私立,進修部,商業與管理群,1123,9,19,76,9,11,2,36,0.801424755120214,1.69189670525378,6.76758682101514,0.801424755120214,0.979519145146928,0.178094390026714,3.20569902048085
109,私立,進修部,外語群,133,0,3,3,1,0,2,3,0,2.25563909774436,2.25563909774436,0.75187969924812,0,1.50375939849624,2.25563909774436
109,私立,進修部,設計群,282,8,6,7,4,2,0,6,2.83687943262411,2.12765957446809,2.4822695035461,1.41843971631206,0.709219858156028,0,2.12765957446809
109,私立,進修部,家政群,766,5,1,33,6,11,0,19,0.652741514360313,0.130548302872063,4.30809399477807,0.783289817232376,1.43603133159269,0,2.48041775456919
109,私立,進修部,餐旅群,2529,40,60,131,14,16,3,23,1.58165282720443,2.37247924080664,5.1799130090945,0.55357848952155,0.632661130881771,0.118623962040332,0.909450375642546
109,私立,進修部,藝術群,104,0,4,14,0,2,0,3,0,3.84615384615385,13.4615384615385,0,1.92307692307692,0,2.88461538461538
