學年度,設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
103,私立,綜合高中,餐旅群,1562,4,45,12,2,3,1,2
103,私立,綜合高中,藝術群,24,0,1,0,0,0,0,4
103,私立,綜合高中,綜合,291,0,4,8,7,0,0,3
103,私立,實用技能學程,機械群,53,1,4,2,0,0,0,0
103,私立,實用技能學程,動力機械群,1141,10,121,42,3,7,0,16
103,私立,實用技能學程,電機與電子群,567,6,22,18,3,2,0,2
103,私立,實用技能學程,商業與管理群,1133,0,49,50,8,7,0,9
103,私立,實用技能學程,設計群,56,0,0,4,0,0,0,0
103,私立,實用技能學程,食品群,286,2,6,5,4,1,0,0
103,私立,實用技能學程,餐旅群,3791,27,166,212,12,7,3,76
103,私立,實用技能學程,美容造型群,1460,9,6,75,4,7,0,5
103,私立,進修部,學術群,269,0,1,16,0,1,4,27
103,私立,進修部,機械群,177,0,11,2,1,0,0,5
103,私立,進修部,動力機械群,760,8,52,32,2,1,0,2
103,私立,進修部,電機與電子群,1101,5,106,69,5,10,0,12
103,私立,進修部,商業與管理群,2787,5,140,156,16,13,3,80
103,私立,進修部,外語群,436,4,22,9,4,7,8,4
103,私立,進修部,設計群,572,5,22,16,21,4,1,2
103,私立,進修部,家政群,1630,30,28,110,26,2,5,27
103,私立,進修部,餐旅群,4665,18,208,200,12,15,10,95
103,私立,進修部,藝術群,195,0,13,13,3,0,2,1
104,國立,普通科,學術群,34072,15,102,27,692,6,20,27
104,國立,專業群科,機械群,4353,21,131,12,49,3,3,15
104,國立,專業群科,動力機械群,1279,0,84,14,7,4,0,9
104,國立,專業群科,電機與電子群,5101,6,172,28,46,2,1,14
104,國立,專業群科,化工群,1208,1,18,2,6,0,0,1
104,國立,專業群科,土木與建築群,1230,3,50,10,12,0,0,5
104,國立,專業群科,商業與管理群,7676,8,71,32,51,3,2,13
104,國立,專業群科,外語群,974,0,3,0,6,2,1,1
104,國立,專業群科,設計群,1297,2,9,4,17,1,0,6
104,國立,專業群科,農業群,1761,1,49,25,20,4,4,2
104,國立,專業群科,食品群,1311,0,32,33,9,0,0,4
104,國立,專業群科,家政群,1430,2,3,6,11,1,0,6
104,國立,專業群科,餐旅群,1053,0,23,6,4,1,0,0
104,國立,專業群科,水產群,242,1,20,13,2,0,0,3
104,國立,專業群科,海事群,288,0,88,1,1,2,0,2
104,國立,專業群科,藝術群,132,0,4,0,5,0,0,2
104,國立,專業群科,綜合,881,33,6,115,17,19,0,17
104,國立,綜合高中,學術群,4856,0,15,6,78,2,3,2
104,國立,綜合高中,機械群,264,0,2,6,7,0,1,0
104,國立,綜合高中,動力機械群,31,0,1,0,0,0,0,2
104,國立,綜合高中,電機與電子群,349,1,8,1,1,1,0,0
104,國立,綜合高中,化工群,55,0,0,0,0,0,0,0
104,國立,綜合高中,土木與建築群,194,0,0,0,2,0,0,0
104,國立,綜合高中,商業與管理群,1217,1,20,12,9,2,1,3
104,國立,綜合高中,外語群,304,1,1,2,1,0,0,0
104,國立,綜合高中,設計群,393,0,1,0,6,1,0,0
104,國立,綜合高中,農業群,106,0,0,2,2,0,0,0
104,國立,綜合高中,食品群,180,1,4,0,1,0,1,0
104,國立,綜合高中,家政群,92,0,0,1,0,0,0,0
104,國立,綜合高中,餐旅群,556,1,13,4,6,1,0,0
104,國立,綜合高中,水產群,47,0,5,0,0,0,0,0
104,國立,綜合高中,海事群,9,0,0,0,0,0,0,0
104,國立,綜合高中,藝術群,10,0,0,0,0,0,0,0
104,國立,綜合高中,綜合,42,0,1,0,0,0,0,0
104,國立,實用技能學程,機械群,521,4,24,13,7,3,0,5
104,國立,實用技能學程,動力機械群,165,2,9,9,0,0,0,1
104,國立,實用技能學程,電機與電子群,400,2,34,6,0,0,0,9
104,國立,實用技能學程,土木與建築群,104,0,2,3,0,0,0,0
104,國立,實用技能學程,商業與管理群,576,6,31,21,4,1,2,4
104,國立,實用技能學程,設計群,160,1,4,11,0,0,0,0
104,國立,實用技能學程,農業群,178,1,2,3,1,0,0,3
104,國立,實用技能學程,食品群,270,2,6,9,7,0,0,3
104,國立,實用技能學程,餐旅群,466,0,14,20,0,0,0,4
104,國立,實用技能學程,水產群,30,4,0,1,6,0,0,0
104,國立,實用技能學程,海事群,46,6,4,4,3,0,0,2
104,國立,實用技能學程,美容造型群,174,1,3,3,0,0,0,0
104,國立,進修部,學術群,146,0,3,0,3,3,0,6
104,國立,進修部,機械群,598,1,47,16,1,1,0,4
104,國立,進修部,動力機械群,158,0,16,13,2,0,0,1
104,國立,進修部,電機與電子群,634,0,64,23,0,3,0,6
104,國立,進修部,化工群,77,1,12,2,0,0,0,0
104,國立,進修部,土木與建築群,79,0,2,8,0,0,0,2
104,國立,進修部,商業與管理群,1562,4,51,49,4,3,1,34
104,國立,進修部,外語群,18,0,0,0,0,1,0,0
104,國立,進修部,設計群,172,1,8,5,1,0,1,2
104,國立,進修部,農業群,66,0,0,0,0,0,0,2
104,國立,進修部,食品群,289,0,23,7,0,6,0,7
104,國立,進修部,家政群,245,1,5,10,1,2,0,7
104,國立,進修部,餐旅群,165,0,7,1,0,1,0,1
104,國立,普通科,學術群,40267,22,172,28,617,8,23,29
104,國立,專業群科,機械群,1791,2,36,6,28,2,3,2
104,國立,專業群科,動力機械群,582,3,9,2,12,0,0,1
104,國立,專業群科,電機與電子群,2855,0,25,3,79,0,2,2
104,國立,專業群科,化工群,235,0,3,1,4,0,0,0
104,國立,專業群科,土木與建築群,467,0,6,0,3,0,0,0
